Ht 1;Bron aan het uiteinde;Jiguan;In de depressie van de oksel;;Voedt het Hart Yin
Ht 3;De kleine zee;Shaohai;;He-sea;- Kalmeert de shen.- Transformeert slijm en klaart hitte
Ht 5;Het verbindende dorp;Tongli;1 cun boven Ht7. Radiale zijde v/d pinkpees;Luo-punt;-Kalmeert shen.-Tonifieert hartQi.-ondersteund de tong
Ht 6;Spleetpunt van het kleine yin;YinXi;0,5 cun boven Ht7. Radiale zijde pinkpees;xi-cleft;-Reguleert Hart Yin.-kalmeert de Shen.-activeert de meridiaan en verminderd pijn
Ht 7;Weg naar de vrolijkheid;Duichong Shenmen;Op de polsplooi lateraal naast de pees van de pink;Yuan source;-Tonifieert hart bloed.-kalmeert de geest
Ht 8;De kleine vergaderzaal;Shaofu;In de handpalm waar de pinktop rust bij het maken van een vuist;vuurpunt;-Klaart hitte v/h hart en dunne darm.-kalmeert de shen
Ht 9;De kleinere weg;Shaochong;0,1 cun onder radiale nagelhoek v/d pink;Jing well;-Bewaart het bewustzijn.-klaart hitte
