Dw 1; Grote straat aan de poort van de wind; Guangshong; 0.1 Cun onder de ulnaire nagelhoek van de ringvinger; ; 
Dw 4; Yang vijver; Yangchi; In een holte tussen ulna en metacarpus, lateraal van de pees van de extensor digitorum; Yuan source; Ontspant pezen en verminderd pijn. - Ondersteunt nier Yang .
Dw 5; Buitenpas; Waiguan; 2 Cun boven Dw4 tussen de radius en de ulna, in de depressie; Luo-connectie .- confluentpunt Yang wei mai; Verdrijft wind-hitte en bevrijdt het externe.- Tempert temporale hoofdpijn.
Dw 7; Verzamelde generaties; Huxizong; 3 cun boven Dw4. 1 vingerbreeste naast Dw6 aan de radiale zijde van de ulna.; xi-cleft; Klaart de meridiaan en ondersteunt de oren.
Dw 10; Bron van de hemel; Tianjing; Met gebogen elleboog in een depressie 1 cun boven het olecranon; ; Transformeert vocht, damp en slijm
Dw 14; keldergat van de schouder; Jianliao; Achter en onder het acromion in de achterste depressoe die verschijnt bij opgeheven arm; ; verminderd pijn en ondersteunt het sschoudergewricht
Dw 17; windscherm; Yifeng; Achter de oorlel in een depressie tussen kaak en processus mastoideus; ; Ondersteunt de oren
Dw 21; poort van het oor; Ermen; In de depressie t.h.v. de bovenrand van de trachus.(bovensta gat naast het oor op gezicht); ; Ondersteunt de oren
Dw 23; Sizhukong; met violen en fluiten; in de depressie aan het laterale uiteinde van de wenkbrouw; ; 
